,,Remembering,Understanding,Applying,Analysing,Evaluating,Creating
Bloom Cognitive Encyclopedia,9,indicate,,complete,,,
Bloom Cognitive Encyclopedia,11,,,co,,,
Bloom Cognitive Encyclopedia,14,memorise,,,,,
Bloom Cognitive Encyclopedia,15,,estimate,,,,
Bloom Cognitive Encyclopedia,16,order,,,,,
Bloom Cognitive Encyclopedia,17,,express,,,,
Bloom Cognitive Encyclopedia,18,quote,,,,,
Bloom Cognitive Encyclopedia,19,read,extrapolate,,,,
Bloom Cognitive Encyclopedia,21,recite,give,,,,
Bloom Cognitive Encyclopedia,22,,give examples,,,,
Bloom Cognitive Encyclopedia,23,record,,,,,
Bloom Cognitive Encyclopedia,24,relate,,,,,
Bloom Cognitive Encyclopedia,27,review,interpolate,,,,
Bloom Cognitive Encyclopedia,30,tabulate,,,,,
Bloom Cognitive Encyclopedia,31,tell,observe,,,,
Bloom Cognitive Encyclopedia,32,underline,,,,,
Bloom Cognitive Encyclopedia,37,,report,,,,
Bloom Cognitive Encyclopedia,38,,represent,,,,
Bloom Cognitive Encyclopedia,39,,restate,,,,
Bloom Cognitive Anderson,3,find,,,,,
Bloom Cognitive Anderson,4,,,,constrast,,
Bloom Cognitive Anderson,5,,exemplify,implement,debate,,
Bloom Cognitive Anderson,6,,,interview,,,hypothesise
Bloom Cognitive Anderson,7,,,,deduce,,invent
Bloom Cognitive Anderson,8,,,,,,make
Bloom Cognitive Anderson,9,,,role play,,,perform
Bloom Cognitive Anderson,10,,,,,monitor,plan
Bloom Cognitive Anderson,12,,,transfer,,prioritise,
Bloom Cognitive Anderson,13,,,,,prove,
Bloom Cognitive Anderson,15,,,,research,,
Bloom Cognitive Anderson,17,,,,structure,,
Bloom Cognitive Waterloo,0,,,,,attribute,
Bloom Cognitive Waterloo,3,,,execute,,check,
Bloom Cognitive Waterloo,6,,,,experiment,,
Bloom Cognitive Waterloo,7,,,practise,inspect,,
Bloom Cognitive Waterloo,8,,present,,,,
Bloom Cognitive Waterloo,9,,,,investigate,,
Bloom Cognitive Waterloo,12,,,,,measure,
Bloom Cognitive Waterloo,13,,,,,,propose
Bloom Cognitive Waterloo,14,,,,test,,
Bloom Cognitive Waterloo,15,,,,,reflect,
Bloom Cognitive Waterloo,16,,,,,,synthesise
Bloom Cognitive Alberta,0,accumulate,,,,,
Bloom Cognitive Alberta,3,,,utilise,,,
Bloom Cognitive Alberta,4,,,,correlate,,
Bloom Cognitive Alberta,5,,,,determine,,
Bloom Cognitive Alberta,8,,,,,detect,
Bloom Cognitive Alberta,9,retrieve,,,,,
Bloom Cognitive Alberta,13,,,,,score,
Bloom Cognitive Alberta,15,,,,,validate,
Bloom Cognitive Alberta,17,,respond,,,,
Bloom Cognitive Madison,0,,add,acquire,,abstract,
Bloom Cognitive Madison,1,,approximate,,audit,animate,
Bloom Cognitive Madison,2,,,allocate,blueprint,,
Bloom Cognitive Madison,3,,associate,alphabetize,breadboard,,
Bloom Cognitive Madison,4,enumerate,,,,budget,
Bloom Cognitive Madison,5,,,ascertain,,,counsel
Bloom Cognitive Madison,6,index,,assign,,code,
Bloom Cognitive Madison,7,,,attain,confirm,,
Bloom Cognitive Madison,8,,,avoid,,,
Bloom Cognitive Madison,10,,,capture,,,
Bloom Cognitive Madison,11,meet,,,diagnose,cope,extimate
Bloom Cognitive Madison,12,,,,,correspond,
Bloom Cognitive Madison,13,,detail,,,,
Bloom Cognitive Madison,14,point,,,,cultivate,grade
Bloom Cognitive Madison,15,,discuess,,dissect,debug,hire
Bloom Cognitive Madison,16,,,customise,document,depict,
Bloom Cognitive Madison,17,,elaborate,,ensure,,
Bloom Cognitive Madison,18,,,depreciate,,,
Bloom Cognitive Madison,19,,example,derive,,,
Bloom Cognitive Madison,20,,,,explore,dictate,
Bloom Cognitive Madison,21,,,diminish,file,enhance,
Bloom Cognitive Madison,22,,,,group,,
Bloom Cognitive Madison,23,,,,,facilitate,
Bloom Cognitive Madison,24,,factor,,,format,release
Bloom Cognitive Madison,26,study,,exercise,interrupt,,
Bloom Cognitive Madison,27,,,,inventory,,
Bloom Cognitive Madison,28,trace,interact,expose,,handle,
Bloom Cognitive Madison,29,,,,manage,import,
Bloom Cognitive Madison,30,,,,maximise,improve,verify
Bloom Cognitive Madison,31,,,figure,minimise,incorporate,
Bloom Cognitive Madison,32,,,graph,optimise,,
Bloom Cognitive Madison,33,,,,,interface,
Bloom Cognitive Madison,34,,,,,join,
Bloom Cognitive Madison,35,,,interconvert,,lecture,
Bloom Cognitive Madison,36,,subtract,,proofread,model,
Bloom Cognitive Madison,37,,,,query,,
Bloom Cognitive Madison,38,,,,,network,
Bloom Cognitive Madison,39,,visualise,,selecct,,
Bloom Cognitive Madison,40,,,personalise,,,
Bloom Cognitive Madison,41,,,plot,subdivide,,
Bloom Cognitive Madison,42,,,,train,portray,
Bloom Cognitive Madison,43,,,,transform,,
Bloom Cognitive Madison,44,,,,,prescribe,
Bloom Cognitive Madison,45,,,price,,,
Bloom Cognitive Madison,46,,,process,,programme,
Bloom Cognitive Madison,47,,,,,rearrange,
Bloom Cognitive Madison,48,,,project,,reconstruct,
Bloom Cognitive Madison,49,,,protect,,refer,
Bloom Cognitive Madison,50,,,provide,,,
Bloom Cognitive Madison,51,,,,,reorganise,
Bloom Cognitive Madison,52,,,sequence,,,
Bloom Cognitive Madison,54,,,simulate,,specify,
Bloom Cognitive Madison,57,,,subscribe,,,
Bloom Cognitive Madison,59,,,transcribe,,,
Bloom Cognitive UIC,0,,ask,,advertise,,
Bloom Cognitive UIC,1,,,administer,,,
Bloom Cognitive UIC,6,,,chart,,consider,
Bloom Cognitive UIC,7,,,,connect,,
Bloom Cognitive UIC,8,,,collect,,,
Bloom Cognitive UIC,12,,,conduct,,,
Bloom Cognitive UIC,13,,,,,,image
Bloom Cognitive UIC,15,,,,,editorialise,
Bloom Cognitive UIC,16,omit,,,,,intervene
Bloom Cognitive UIC,17,,familiarise,,divide,,
Bloom Cognitive UIC,19,,,establish,,,
Bloom Cognitive UIC,20,,,,,persuade,negotiate
Bloom Cognitive UIC,21,,,,,,originate
Bloom Cognitive UIC,22,,map,,extract,,
Bloom Cognitive UIC,26,retell,,,,reframe,
Bloom Cognitive UIC,29,,,,,substantiate,
Bloom Cognitive UIC,30,,,paint,,suggest,
Bloom Cognitive UIC,31,,,,,,role-play
Bloom Cognitive UIC,32,,,place,,,schematize
Bloom Cognitive UIC,34,,,,survey,weight,speculate
Bloom Cognitive UIC,36,,,schedule,,,subsitute
Bloom Cognitive UIC,37,,,stimulate,,,
